document,text,source,genre
be still and know,we do not have the lyrics for be still and know yet ,amy-grant,christian
walking away with you,he calls me to the darkness and he tries to put some hardness in my heart  pullin  us apart and he tells me that he needs me but lies are all he feeds into my life  day and night when i am losin  my sense of direction and i am needin  some strength and protection walkin  away with you i go walkin  away with you  well when i when i think i can not stand any longer and i am cryin  for someone that stronger walkin  away with you i go walkin  away with you there nothing he can do his threat to me is through and i go walkin  away with you lonely overtakes me everyone forsakes me friends are gone pain is on walls around my feelings emptiness concealin  all my views  all of you when i am needin  someone to console me nearly dyin  for someone to hold me walkin  away with you i go walkin  away with you  and when i am when i am faced with a tricky temptation i abandon the whole situation walkin  away with you i go walkin  away with you oh  what a fail safe plan just staying hand in hand i will keep on walkin  away with you i do not notice if no one around me when i see that your lovin  has found me taken my surprise like sunlight in a clouded sky when i am dancin  his light is a favor au revoir to the stormy weather walkin  from the night to a neverending light when i am losin  my sense of direction and i am needin  some strength and protection walkin  away with you i go walkin  away with you  and when i when i think i can not stand any longer and i am cryin  for someone that stronger walkin  away with you i go walkin  away with you when i am needin  someone to console me nearly dying for someone to hold me walkin  away with you i go walkin  away with you  and when i am when i am faced with a tricky temptation i abandon the whole situation walkin  away with you i go walkin  away with you well when i am losin  my sense of direction and i am needin  some strength and protection walkin  away with you i go walkin  away with you  well when i when i think i can not stand any longer and i am cryin  for someone that stronger walkin  away with you i go walkin  away with you,amy-grant,christian
to be together,we do not have the lyrics for to be together yet ,amy-grant,christian
beautiful music,once my life had no direction  i was lost as could be i was caught in a whirlpool  spinning around in misery i needed a friend  you took me in and you touched my heart with your song of love you gave me a brand new start now there beautiful music flowin  on through me just like you said angels singin   joy bells ringing inside my head since you came inside me  now i am lost inside your love you gave me just enough to make me hunger for more of you now i am hooked on your lovin  and i do not want to break loose with my heart in my hand  i am yours to command  do what you want me to just never let me go  lord  i am so in love with you now there beautiful music flowin  on through me just like you said angels singin   joy bells ringin  inside my head since you came inside me  now i am lost inside your love beautiful music flowin  on through me just like you said angels singin   joy bells ringin  inside my head beautiful music flowin  on through me just like you said angels singin   joy bells ringin  inside my head,amy-grant,christian
breath of heaven,i have traveled many moonless nights cold and weary with a babe inside and i wonder what i have done holy father  you have come and chosen me now to carry your son i am waiting in a silent prayer i am frightened by the load i bear in a world as cold as stone must i walk this path alone  be with me now  be with me now breath of heaven  hold me together be forever near me  breath of heaven breath of heaven  lighten my darkness pour over me your holiness for you are holy breath of heaven do you wonder as you watch my face if a wiser one should have had my place  but i offer all i am for the mercy of your plan help me be strong  help me be  help me breath of heaven  hold me together be forever near me  breath of heaven breath of heaven  lighten my darkness pour over me your holiness for you are holy breath of heaven  hold me together be forever near me  breath of heaven breath of heaven  lighten my darkness pour over me your holiness for you are holy breath of heaven  breath of heaven breath of heaven,amy-grant,christian
happy,i want to look behind your eyes and gently brush the hair back from your face  cause baby i just realized seeing you there in that light it better to be kind than right and i am about to bridge this kiss between us baby i am ready to dig in ready for more than skin on skin this is where love begins so i say i am gonna tell you you are my man cause it makes you happy and i wanna rush to hold your hand it makes me feel happy i am gonna love you best i can cause i know it makes you happy and i wanna see you happy i know i have made some big mistakes i have learned the hardest lessons that way so adios to foolish pride i have got nothin  left to hide i stand here open wide and everything inside of me is sayin  baby i am ready to dig in ready for more than skin on skin this is where love begins so i say i am gonna tell you you are my man cause it makes you happy and i wanna rush to hold your hand it makes me feel happy i am gonna love you best i can cause i know it makes you happy and i wanna see you happy,amy-grant,christian
hold me jesus,well sometimes my life just do not make sense at all when the mountains look so big and my faith just seems so small so hold me jesus  i am shaking like a leaf you have been king of my glory wo not you be my prince of peace and i wake up in the night and feel the dark it so hot inside my soul there must be blisters on my heart so hold me jesus  i am shaking like a leaf you have been king of my glory wo not you be my prince of peace surrender do not come natural to me i would rather fight you for something i do not really want than to take what you give that i need and i have beat my head against so many walls now i am falling down  i am falling on my knees and the salvation army band is playing this hymn and your grace rings out so deep it makes my resistance seem so thin oh  hold me jesus  i am shaking like a leaf you have been king of my glory wo not you be my prince of peace oh  hold me jesus  i am shaking like a leaf you have been king of my glory wo not you be my prince of peace,amy-grant,christian
love me tender,love me tender  love me sweet  never let me go  you have made my life complete and i love you so  love me tender  love me true  all my dreams fulfill  for  my darlin   i love you and i always will  love me tender  love me long  take me to your heart  for it there that i belong and we will never part  love me tender  love me true  all my dreams fulfill  for  my darlin   i love you and i always will  love me tender  love me dear  tell me you are mine  i will be yours through all the years till the end of time  love me tender  love me true  all my dreams fulfill  for  my darlin   i love you and i always will ,amy-grant,christian
how can we see that far,we said our promises by candlelight you held my hands  i was dressed in white we were young    how can we see that far  how can we see that far   i knew i wanted you like no one else i told my momma that i would found myself in your eyes    how can we see that far  how can we see that far   but like your daddy said the same sun that melts the wax can harden clay and the same rain that drowns the rat will grow the hay and the mighty wind that knocks us down if we lean to it will drive our fears away and then i woke you in the dead of night to hold my hands  push away the fright life had come  a son    how can we see that far  how can we see that far   yeah  we were nervous and a little scared until the music of our baby cry filled the air    how can we see that far  how can we see that far   but like your daddy said the same sun that melts the wax can harden clay and the same rain that drowns the rat will grow the hay and the mighty wind that knocks us down if we lean to it will drive our fears away we might die  we might live we could hurt each other badly do things  things so hard to forgive ooh  and if time is not our friend your mind might forget me before the end and oh  i cannot  i cannot look that far but like your daddy said    how can we see that far   the same sun that melts the wax can harden clay and the same rain that drowns the rat will grow the hay and the mighty wind that knocks us down if we lean to it  how can we see that far   gotta lean to it  will drive our fears away it the same sun  yeah  and the same rain it the same sun and the same rain,amy-grant,christian
sleigh ride,just hear those sleigh bells jingling  ring ting tingling too come on it lovely weather for a sleigh ride together with you outside the snow is falling and friends are calling   yoo hoo   come on it lovely weather for a sleigh ride together with you giddy yap  giddy yap  giddy yap  let go let look at the show  we are riding in a wonderland of snow giddy yap  giddy yap  giddy yap  it grand just holding your hand we are gliding along with a song of a wintery fairyland our cheeks are nice and rosy and comfy cozy are we we have snuggled close together like two birds of a feather would be let take that road before us and sing a chorus or two come on it lovely weather for a sleigh ride together with you there a birthday party at the home of farmer gray it will be the perfect ending of a perfect day we will be singing the songs we love to sing without a single stop at the fireplace we will watch the chestnuts pop  pop  pop  pop there a happy feeling nothing in this world can buy when they pass around the coffee and the pumpkin pie it will nearly be like a picture print by currier and ives these wonderful things are the things we remember all through our lives these wonderful things are the things we remember all through our lives just hear those sleigh bells jingling  ring ting tingling  too come on it lovely weather for a sleigh ride together with you outside the snow is falling and friends are calling   yoo hoo   come on  it lovely weather for a sleigh ride together with you giddy yap  giddy yap  giddy yap  let go let look at the show  we are riding in a wonderland of snow giddy yap  giddy yap  giddy yap  it grand just holding your hand we are gliding along with a song of a wintery fairyland nice and rosy and comfy cozy are we we have snuggled close together like two birds of a feather would be let take that road before us and sing a chorus or two come on it lovely weather for a sleigh ride together with you it lovely weather for a sleigh ride together with you lovely weather for a sleigh ride together with you lovely weather for a sleigh ride together with you lovely weather for a sleigh ride together with you lovely weather for a sleigh ride together with you,amy-grant,christian
