"","X","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"1",334,"i ai not got no money i ai not like those other guys you hang around it kinda funny but they always seem to let you down and i get discouraged  cause i never see you anymore and i need your love  babe well  that all i am living for  yeah did not wanna pressure you  baby but all i ever wanted to do i wanna be your lover i wanna be the only one that makes you come running i wanna be your lover i wanna turn you on  turn you out all night long  make you shout oh lover  yeah  i wanna be the only one you come for i wanna be your brother i wanna be your   and your sister  too there ai not no other that can do the things that i will do to you and i get discouraged  cause you treat me just like a child and they say i am so shy  yeah but with you i just go wild i did not wanna pressure you  baby but all i ever wanted to do i wanna be your lover i wanna be the only one that makes you come running i wanna be your lover i wanna turn you on  turn you out all night long make you shout oh  lover  yeah  i wanna be the only one you come for  yeah","i wanna be your lover",1979,"Prince",1,"11","1","1970s","Top 10","Charted"
"2",530,"ooh  here i go again  falling in love all over ooh  the cycle never ends  you just pray and do not get burned ooh  this fire inside of me  do not nobody realize ooh  what you are to me  but baby you got to learn i am making you a coat of pink cashmere you got to know how i feel about you  how i always want you near i am making you a coat of pink cashmere i am counting every minute of every hour  til you are here girl  can you understand  i never used to go dancing i  i was the kind of man who rather stay at home now  when i think about h how much i miss you i wanna jump for joy and thank him i am not alone ooh  i am making you a coat of pink cashmere you got to know how i feel about you baby how i always want you near i am making you a coat of pink cashmere i am gonna count every minute of every hour  until you are here here i go again  falling in love all over oh  the cycle never ends  you pray and do not get burnt i am making you a coat of pink cashmere you got to know how i feel about you  how i always want you near i am making you a coat of pink cashmere i am counting every minute of every hour  til you are here i am making you a coat of pink cashmere you got to know how i feel about you i am making you a coat of pink cashmere counting every minute of every hour  til you are here i am making you a coat of pink cashmere coat of pink cashmere coat of pink cashmere coat of pink cashmere  cuz you got to know how i feel about you babe how i feel about you babe  i am gonna make a little pretty coat i am gonna count every second  every minute each and every hour of every day  til you come on back come on back to your little man","pink cashmere",1993,"The Hits/The B-Sides",7,"50","14","1990s","Top 10","Charted"
"3",26,"if i never get to hold your hand if i never get to be your man that okay   cause i have got other plans right now  right now if i never get to kiss your lips if i never get to feel your hips close to me that okay  i ai not gonna trip not now  no how  cause i have got 4ever  4ever eternity is just one kiss away so they say the opera just got all the fair cyprus  if i never get to take you swimming there if you never know how much i care i swear  it not fair  no if i never get to make you laugh if we never get to take a bubble bath see i do not wanna part with you  not tonight gonna be apart of my plans i just want  i just want listen  i just want 4ever oh  i just want 4ever eternity is just one kiss away what you say  4ever so many things we can do in the new world i can be your future lover you can be my future girl if i never get to see your smile underneath a white veil walking up the isle i just might go crazy  i might go wild so let me tell you baby stop lookin  at me like that unless you are wanting me to bite that 4ever  4ever eternity is just one kiss away what you say  4ever  4ever i do not want to kiss your lips till i get to  uh  your hips","4ever",2009,"LotusFlow3r",4,"35","4","2000s","Top 10","Charted"
"4",245,"future baby mama i have heard it said my lovers look alike could it be that i was looking for you  they were cool but something was not right they had me fooled for a minute and then i saw the truth none of them got what it takes to be a future baby mama gotta bend in the wind but do not break to keep your man show me one of them and i will make her mine with no more drama future baby mama i have heard it said that i will not treat you right but they ai not sure  cos they do not know nothing about you you are too secure to ever want to fuss and fight that why your man never ever got a reason to doubt you none of them got what it takes to be a future baby mama bend in the wind but do not break to keep your man show me one of them and i will make her mine  no more drama future baby mama yeah  i know you might be fine but i have seen it all before cinderella was a waste of time and oops  she out the door to build a house together  the thing that matters more is under the floor  a strong foundation that last forever more i am gon  to make you happy  baby  happier than happy itself you know what  if you will ever need a hand  call me  i will help  cos i got you  anywhere you wanna go paris  london  africa  san lucas  mexico  you see i know what you want  what every good woman wants a man so in love with you  he can not help but to flaunt you deep down  i know what you want you want your girlfriends to hate you  cos they can not get your man none of them got what it takes to be a future baby mama gotta bend in the wind but do not break to keep your man show me one of them and i will make her mine  no more drama future baby mama  future baby mama  future baby mama","future baby mama",2007,"Planet Earth",39,"-","39","2000s","Top 100","Charted"
"5",87,"prince batman batdance oh  i got a live one here  ha  ha  ha      get the funk up    batman  get the funk up    batman  get the funk up    go  go  go with a smile   batdance   do it  keep bustin    do it   repeat in bg   i have seen the future and it will be  i have seen the future and it will be  batman  batman  i have seen the future and it will be  batman  house  house    and where  and where is the batman     do it   repeat   let do it  x2    stop the press    stop the press  who is that     vicky vale    vicky vale    i like     batman  batman  batman   oh  bats    hi  bruce wayne    i tried 2 avoid all this  but i can not    i just gotta know   are we gonna try 2 love each other     stop the press  who is that     vicky vale    she is great  is not she    ooh yeah  ooh yeah  i wanna bust that body  ooh yeah  ooh yeah  i wanna bust that body right   i would like 2    ooh yeah  ooh yeah   but he out there right now    i wanna bust that body  ooh yeah  ooh yeah  2night   well  miss vale    u ever dance with the devil in the pale moonlight     i always ask that of all my prey    i just like the sound of it    i have gotta go 2 work      batman   i have gotta go 2 work      batman    work    repeat in bg   if a man is considered guilty 4 what goes on in his mind  then gimme the electric chair 4 all my future crimes     oh   electric chair  hey ducky  let me stick this 7 inch in the computer  ha  ha  ha     hey  we got the power  oh  we got the soul  hey  we got 2 sho nuff get off  make the devil go  go   this town needs an enema     let do it   sampled in bg    i am gonna kill u    power   i am not gonna kill u    soul   i am gonna kill u    power   i am not gonna kill u    soul   i am batman    batman  do not stop dancin     i am batman    batman  do not stop dancin    batman  x3   do not stop  do not stop  do not stop dancin    batman  x2   do not stop dancin    x2   no    it   turn the music back up   oh  son of a      have u ever heard of the healing power of laughter    who gonna stop 200 balloons  nobody    ha  ha  ha      looped    batman    stop ","batdance",1989,"Batman",1,"1","1","1980s","Top 10","Charted"
"6",471,"i wanna be your lover i wanna be your lover i wanna be your lover i wanna be your lover my name is prince and i am funky my name is prince  the one and only i did not come to funk around  til i get your daughter i will not leave this town in the beginning god made the sea but on the 7th day he made me he was tryin  to rest y all when he heard the sound sound like a guitar  cold gettin  down i tried to bust a high note but i bust a string my god was worried  til he heard me sing my name is prince and i am funky my name is prince  the one and only hurt me do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  somebody my name is prince and i am funky when it come to funk i am a junky i know from righteous  i know from sin i got two sides and they are both friends do not try to clock  em  they are much too fast if you try to stop  em they kick that ass without a pistol  without a gun when you hear my music you will be havin  fun that when i gottcha that when you mine to tell the truth tell me what my line  my name is prince and i am funky my name is prince  the one and only hurt me do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  somebody my name is prince  i do not wanna be king  cause i have seen the top and it just a dream big cars and women and fancy clothes will save your face but it will not save your soul i am here to tell you that there a better way would our lord be happy if he came today  i ai not sayin  i am better  no better than you but if you want to play with me  you better learn the rules my name is prince and i am funky my name is prince  the one and only i did not come to funk around  til i get your daughter i will not leave this town i will not leave this town i will not leave this town i will not leave this  leave this  leave this my name is prince and i am funky my name is prince  the one and only funky fresh for the 90 do that  do that  somebody do that  do that  somebody do that  do that  somebody do that  do that  some the funkier i be  the funkier i get  oh   lickety split on the lyric  a new jack in the pulpit watch it deacon  your track is leakin  what is this you are seekin   the syncopated rhymes are at their peak when you jumped on my d i c k that the one thing that i do not play the jock strap was too big for you anyway you are just a simpleton  i will bust you like a pimple  son my star is too bright boy  i will sink you like the ship  poseidon adventure you are bumpin  dentures to be cocksure there must be more coming from your mouth than manure so with a flow and a spray  i say  hey  you must become a prince before you are king anyway  do that  do that somebody do that  do that somebody it time to get ig ig ignorant def be the beat that i am rockin  yo so  come get a hit and put your thinking cap on  you have been forewarned i call upon the inner forces that i have got brewin  in my cauldron that means my nugget  sometimes i am rugged the style i posses be havin   the other brothers buggin  and this is for those who oppose to propose to overexpose disclose pose a threat to my brother like any other man makin  a stand i will be  ed if i let you play this hand i am the blackjack dealer and the cards are stacked what do you expect to win when you are used to playing craps  do that  do that somebody do that  do that somebody it gettin  tricky  i mean it a sticky situation to resurrect a groove with feeling and give it this much affection passion flows and who knows what lurks in the gallows of my mind i put my foot in the ass of jim crow 12 inches of non stop sole i am on a roll with p  it time for the show so do that  do that somebody wave your hands in the air this is a   ing party while you are laying back i am on the attack paddywhack give yourself a bone this is my house and i am prone to layin  some chrome upside some   ers dome and i am out my name is prince and i am funky my name is prince  the one and only my name is prince my name is prince my name is prince my name is prince my name is prince my name is prince my name is prince my name is prince my name is prince my name is prince","my name is prince",1992,"Symbol",5,"36","25","1990s","Top 10","Charted"
"7",101,"i do not want to take my clothes off but i do i do not want to turn nobody on unless it you i do not want to dance too hard  babe but this is a groove i am hot and i do not care who knows it i got a job to do  yes i am workin  workin  up a black sweat i am workin  workin  up a black sweat i am workin  i do not wanna break your pride but i got to you better take your woman and hide her i am about to  got to  got to show you what really good break you off like you knew i would i got a brand new dance and it called the workin  workin  up a black sweat i am workin  workin  up a black sweat i am workin  you can act hard if you want to this groove will make you sweet you will be s in  like a white lady when i count two  three one  two  three workin  workin  up a black sweat i am workin  workin  up a black sweat workin  workin  up a black workin  workin  up a black black sweat","black sweat",2006,"3121",43,"60","82","2000s","Top 100","Charted"
"8",72,"i gave my love  i gave my life i gave my body and mind we were inseparable i guess i gave you all of my time and now you plead insanity and you do not even know the score why can not you learn to play the game  baby  do not you know that you need more     more  more  more  more  you need another lover like you need a hole in yo head  baby  baby you know there ai not no other that can do the duty in your bed  yeah we were brothers and sisters united all for love now all of the sudden    all of the sudden  you try to fight it    try to fight  you say you have had enough  say you have had enough  even though we had big fun    even though we had big fun  you want another someone    you want another someone  yo happily ever after be  you are sure as there a sun  you are sure as there a sun    i am gonna be the one  i am gonna be the one    you do not understand face to face  you do not understand face to face baby  i will tell you down on my knee  yeah you need another lover like you need a hole in yo head baby  baby you know there ai not no other that can do the duty in your bed   solo  solo  sing it  oh  lord you need another lover you know there ai not no other you need another lover like you need a hole in yo head hole in yo head  hole in yo head you need another lover like you need a hole  a hole  a hole  a hole you need another lover you know there ai not no other there gonna be a riot if you do not clap your hands if you do not make that funky stand  everybody you know there ai not no other","anotherloverholenyohead",1986,"Parade",15,"63","18","1980s","Top 100","Charted"
"9",716,"could you be the most beautiful girl in the world it plain to see you are the reason that god made a girl when the day turns into the last day of all time i can say  i hope you are in these arms of mine and when the night falls before that day i will cry i will cry tears of joy  cause after you all one can do is die could you be the most beautiful girl in the world  could you be it plain to see you are the reason that god made a girl you are the reason that god made a girl oh yes  you are how can i get through days when i can not get through hours i can try but when i do i see you and i am devoured  oh yes who would allow  who would allow a face to be soft as a flower i could bow and feel proud in the light of this power  oh yes    bow down  could you be  could you be  the most beautiful girl in the world could you be it plain to see you are the reason that god made a girl oh yes  you are and if the stars ever fell one by one from the sky i know mars could not be too far behind  cuz baby  this kind of beauty has got no reason to ever be shy  cuz honey  this kind of beauty the kind that comes from inside could you be  could you be  the most beautiful girl in the world  so beautiful  beautiful   it plain to see  plain to see  you are the reason that god made a girl  oh yeah oh yes  you are could you be","the most beautiful girl in the world",1995,"The Gold Experience",1,"3","2","1990s","Top 10","Charted"
"10",337,"doubts of our conviction  follow where we go and when the world compassion ceases  still i know for your every touch i thank you so much for your every kiss i i wish u love i wish u heaven i wish u heaven if i see eleven  you can say it seven still i wish u heaven i wish u love i wish u heaven i wish u heaven la la la la la  do do do do do la la la la la  do do do do do la la la la la i wish u heaven i wish u heaven i  i  i  i  i wish u heaven i wish u heaven i wish u heaven i wish u heaven i wish u heaven i wish u heaven i wish u heaven","i wish u heaven",1988,"Lovesexy",9,"-","18","1980s","Top 10","Charted"
